model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
Bi-LSTM,0.01,0.05584507495335521,0.05584507495335521,0.0
Bi-LSTM,0.02,0.04627583517483426,0.04621084102430781,0.0
Bi-LSTM,0.03,0.036854028498259896,0.03637796309672336,0.0
Bi-LSTM,0.04,0.02793259023354564,0.026340233545647553,0.0
Bi-LSTM,0.05,0.019024472008045586,0.01609118337244385,0.0
Bi-LSTM,0.060000000000000005,0.01085287075936215,0.005624068301937929,0.0
Bi-LSTM,0.06999999999999999,0.00378969476976463,-0.005068146017396052,0.0
Bi-LSTM,0.08,-0.0026770054463214205,-0.01599279977845472,0.0
Bi-LSTM,0.09,-0.007530155619327586,-0.027157555819976198,0.0
Bi-LSTM,0.09999999999999999,-0.012384996461429584,-0.03857041755130926,0.0
Bi-LSTM,0.11,-0.014170185357475135,-0.050239748085593644,0.0
Bi-LSTM,0.12,-0.0154169079328315,-0.06217429067747539,0.0
Bi-LSTM,0.13,-0.01821143568343217,-0.07438319057031993,0.0
Bi-LSTM,0.14,-0.01866390164420087,-0.08687601836764923,0.0
Bi-LSTM,0.15000000000000002,-0.01926439365555141,-0.0996627950543275,0.0
Bi-LSTM,0.16,-0.022343544636538273,-0.11275401880497422,0.0
Bi-LSTM,0.17,-0.02408359552861128,-0.1261606937303354,0.0
Bi-LSTM,0.18000000000000002,-0.02599554657966964,-0.13989436072704675,0.0
Bi-LSTM,0.19,-0.02950774553746953,-0.15396713061256584,0.0
Bi-LSTM,0.2,-0.0322452229299363,-0.16839171974522293,0.0
Bi-LSTM,0.21000000000000002,-0.03342605283667931,-0.18318148834959286,0.0
Bi-LSTM,0.22,-0.03553541292394795,-0.19835048178997222,0.0
Bi-LSTM,0.23,-0.0374238288251027,-0.21391347505997188,0.0
Bi-LSTM,0.24000000000000002,-0.04165269862554476,-0.2298860207844452,0.0
Bi-LSTM,0.25,-0.04387827317763622,-0.24628450106157113,0.0
Bi-LSTM,0.26,-0.04583405061112067,-0.26312618350834915,0.0
Bi-LSTM,0.27,-0.047370793706192016,-0.2804292819125731,0.0
Bi-LSTM,0.28,-0.04856687898089174,-0.2982130219391366,0.0
Bi-LSTM,0.29000000000000004,-0.05030501480218895,-0.31649771238898367,0.0
Bi-LSTM,0.3,-0.05307855626326964,-0.3353048225659691,0.0
Bi-LSTM,0.31,-0.054809378750115406,-0.35465706637127303,0.0
Bi-LSTM,0.32,-0.059135756213313365,-0.37457849381790936,0.0
Bi-LSTM,0.33,-0.06138099312355423,-0.39509459074056474,0.0
Bi-LSTM,0.34,-0.06104033970276011,-0.4162323875699673,0.0
Bi-LSTM,0.35000000000000003,-0.0637759268332517,-0.43802057814796674,0.0
Bi-LSTM,0.36000000000000004,-0.06495488322717624,-0.4604896496815288,0.0
Bi-LSTM,0.37,-0.06842921174131367,-0.48367202507329893,0.0
Bi-LSTM,0.38,-0.07199849325388673,-0.507602219026094,0.0
Bi-LSTM,0.39,-0.07466673627788802,-0.5323170095019317,0.0
Bi-LSTM,0.4,-0.07873319179051665,-0.557855626326964,0.0
Bi-LSTM,0.41000000000000003,-0.08367519522113066,-0.5842599589765735,0.0
Bi-LSTM,0.42000000000000004,-0.08472435756643971,-0.61157478585548,0.0
Bi-LSTM,0.43,-0.08398517525235592,-0.6398480277125934,0.0
Bi-LSTM,0.44,-0.08553230209281164,-0.6691310282074613,0.0
Bi-LSTM,0.45,-0.0876761243003281,-0.6994788650839605,0.0
Bi-LSTM,0.46,-0.08612487221829047,-0.7309506959188488,0.0
Bi-LSTM,0.47000000000000003,-0.0889616632616272,-0.7636101430116572,0.0
Bi-LSTM,0.48000000000000004,-0.09121345745549568,-0.7975257226849584,0.0
Bi-LSTM,0.49,-0.09391782190583238,-0.8327713250905456,0.0
Bi-LSTM,0.5,-0.09501061571125265,-0.8694267515923566,0.0
Bi-LSTM,0.51,-0.09761038173231075,-0.9075783179513843,0.0
Bi-LSTM,0.52,-0.09961075725406936,-0.947319532908705,0.0
Bi-LSTM,0.53,-0.1027352396440349,-0.9887518633961243,0.0
Bi-LSTM,0.54,-0.10578787039601219,-1.0319855995569094,0.0
Bi-LSTM,0.55,-0.10804435008256667,-1.0771408351026188,0.0
Bi-LSTM,0.56,-0.11098243582320018,-1.124348581354951,0.0
Bi-LSTM,0.5700000000000001,-0.11177356441021087,-1.1737520367352987,0.0
Bi-LSTM,0.5800000000000001,-0.11454857951673245,-1.2255080376099488,0.0
Bi-LSTM,0.59,-0.11804153073377865,-1.279788721454093,0.0
Bi-LSTM,0.6,-0.1183651804670913,-1.3367834394904456,0.0
Bi-LSTM,0.61,-0.12122325657357505,-1.3967009635799443,0.0
Bi-LSTM,0.62,-0.12115878869147392,-1.4597720415688902,0.0
Bi-LSTM,0.63,-0.12388821942962072,-1.526252367016698,0.0
Bi-LSTM,0.64,-0.12379098844066999,-1.5964260438782731,0.0
Bi-LSTM,0.65,-0.12837427964816503,-1.6706096451319383,0.0
Bi-LSTM,0.66,-0.13263394529786438,-1.7491569876358188,0.0
Bi-LSTM,0.67,-0.13646014282956961,-1.8324647751399346,0.0
Bi-LSTM,0.68,-0.14092356687898092,-1.9209792993630577,0.0
Bi-LSTM,0.6900000000000001,-0.1455037326210534,-2.015204438052189,0.0
Bi-LSTM,0.7000000000000001,-0.14844302901627748,-2.1157112526539286,0.0
Bi-LSTM,0.7100000000000001,-0.14620396807965452,-2.223149571710961,0.0
Bi-LSTM,0.72,-0.14945404913557778,-2.3382620564149224,0.0
Bi-LSTM,0.73,-0.15323975780451363,-2.461901391837697,0.0
Bi-LSTM,0.74,-0.15899069083782458,-2.5950514453699163,0.0
Bi-LSTM,0.75,-0.15870488322717624,-2.738853503184713,0.0
Bi-LSTM,0.76,-0.15401627742392077,-2.89463906581741,0.0
Bi-LSTM,0.77,-0.15849718452875475,-3.063971199113819,0.0
Bi-LSTM,0.78,-0.16097278517660688,-3.248697162709902,0.0
Bi-LSTM,0.79,-0.1541300171873421,-3.4510160752198975,0.0
Bi-LSTM,0.8,-0.15233545647558389,-3.6735668789808926,0.0
Bi-LSTM,0.81,-0.14758632249413348,-3.919544083137782,0.0
Bi-LSTM,0.8200000000000001,-0.15758433592828502,-4.192852087756548,0.0
Bi-LSTM,0.8300000000000001,-0.16251405020606977,-4.498313975271639,0.0
Bi-LSTM,0.8400000000000001,-0.15870488322717635,-4.841958598726118,0.0
Bi-LSTM,0.85,-0.16985138004246284,-5.231422505307855,0.0
Bi-LSTM,0.86,-0.16204124962086744,-5.676524112829845,0.0
Bi-LSTM,0.87,-0.16474767270945614,-6.1901028907398326,0.0
Bi-LSTM,0.88,-0.1691436659589526,-6.78927813163482,0.0
Bi-LSTM,0.89,-0.17313259988419227,-7.497394325419804,0.0
Bi-LSTM,0.9,-0.18630573248407648,-8.347133757961785,0.0
Bi-LSTM,0.91,-0.19238027836753957,-9.385704175513096,0.0
Bi-LSTM,0.92,-0.19240976645435257,-10.683917197452235,0.0
Bi-LSTM,0.93,-0.16424021838034591,-12.3530482256597,0.0
Bi-LSTM,0.9400000000000001,-0.13269639065817423,-14.578556263269652,0.0
Bi-LSTM,0.9500000000000001,-0.14649681528662445,-17.694267515923592,0.0
Bi-LSTM,0.9600000000000001,-0.12791932059448008,-22.367834394904502,0.0
Bi-LSTM,0.97,-0.11058032554847833,-30.15711252653925,0.0
Bi-LSTM,0.98,-0.17675159235668775,-45.73566878980888,0.0
Bi-LSTM,0.99,-0.15605095541401262,-92.47133757961775,0.0
Transformer,0.01,0.05584507495335521,0.05584507495335521,0.0
Transformer,0.02,0.04621084102430781,0.04621084102430781,0.0
Transformer,0.03,0.03641079519338105,0.03637796309672336,0.0
Transformer,0.04,0.031847133757961776,0.026340233545647553,0.0
Transformer,0.05,0.030170968823332214,0.01609118337244385,0.0
Transformer,0.060000000000000005,0.02805258165063016,0.005624068301937929,0.0
Transformer,0.06999999999999999,0.025146679451179148,-0.005068146017396052,0.0
Transformer,0.08,0.02213145019846765,-0.01599279977845472,0.0
Transformer,0.09,0.01847250414129395,-0.027157555819976198,0.0
Transformer,0.09999999999999999,0.015215852795470629,-0.03857041755130926,0.0
Transformer,0.11,0.011182280111643884,-0.050239748085593644,0.0
Transformer,0.12,0.007985910055973752,-0.06217429067747539,0.0
Transformer,0.13,0.003959538277570333,-0.07438319057031993,0.0
Transformer,0.14,0.001147978077321879,-0.08687601836764923,0.0
Transformer,0.15000000000000002,-0.0011240164855751342,-0.0996627950543275,0.0
Transformer,0.16,-0.003488019411586288,-0.11275401880497422,0.0
Transformer,0.17,-0.006567671961732288,-0.1261606937303354,0.0
Transformer,0.18000000000000002,-0.009398788255398485,-0.13989436072704675,0.0
Transformer,0.19,-0.012607795339571695,-0.15396713061256584,0.0
Transformer,0.2,-0.016056263269639062,-0.16839171974522293,0.0
Transformer,0.21000000000000002,-0.01945765809347201,-0.18318148834959286,0.0
Transformer,0.22,-0.02295987805541945,-0.19835048178997222,0.0
Transformer,0.23,-0.026111892353930563,-0.21391347505997188,0.0
Transformer,0.24000000000000002,-0.029053525533579178,-0.2298860207844452,0.0
Transformer,0.25,-0.03237791932059447,-0.24628450106157113,0.0
Transformer,0.26,-0.03491708268778333,-0.26312618350834915,0.0
Transformer,0.27,-0.03831835500101795,-0.2804292819125731,0.0
Transformer,0.28,-0.04210898796886059,-0.2982130219391366,0.0
Transformer,0.29000000000000004,-0.045266289883675745,-0.31649771238898367,0.0
Transformer,0.3,-0.04913557779799818,-0.3353048225659691,0.0
Transformer,0.31,-0.05197082987168837,-0.35465706637127303,0.0
Transformer,0.32,-0.05548270263519421,-0.37457849381790936,0.0
Transformer,0.33,-0.057166397312799086,-0.39509459074056474,0.0
Transformer,0.34,-0.06134594351154864,-0.4162323875699673,0.0
Transformer,0.35000000000000003,-0.06467417932386087,-0.43802057814796674,0.0
Transformer,0.36000000000000004,-0.06770833333333336,-0.4604896496815288,0.0
Transformer,0.37,-0.0700805446028376,-0.48367202507329893,0.0
Transformer,0.38,-0.07353948359701391,-0.507602219026094,0.0
Transformer,0.39,-0.0760850649124639,-0.5323170095019317,0.0
Transformer,0.4,-0.08032554847841473,-0.557855626326964,0.0
Transformer,0.41000000000000003,-0.08459282449890244,-0.5842599589765735,0.0
Transformer,0.42000000000000004,-0.08792737389267154,-0.61157478585548,0.0
Transformer,0.43,-0.09188177449994413,-0.6398480277125934,0.0
Transformer,0.44,-0.09546557476493782,-0.6691310282074613,0.0
Transformer,0.45,-0.09906388728044778,-0.6994788650839605,0.0
Transformer,0.46,-0.1041126051741763,-0.7309506959188488,0.0
Transformer,0.47000000000000003,-0.10783960261186555,-0.7636101430116572,0.0
Transformer,0.48000000000000004,-0.11199575371549893,-0.7975257226849584,0.0
Transformer,0.49,-0.11623163065650886,-0.8327713250905456,0.0
Transformer,0.5,-0.11942675159235668,-0.8694267515923566,0.0
Transformer,0.51,-0.12147406733393994,-0.9075783179513843,0.0
Transformer,0.52,-0.12398266100495402,-0.947319532908705,0.0
Transformer,0.53,-0.12701585580701996,-0.9887518633961243,0.0
Transformer,0.54,-0.1318886734976461,-1.0319855995569094,0.0
Transformer,0.55,-0.1349374852559566,-1.0771408351026188,0.0
Transformer,0.56,-0.13863153831306702,-1.124348581354951,0.0
Transformer,0.5700000000000001,-0.13795487088332598,-1.1737520367352987,0.0
Transformer,0.5800000000000001,-0.13856030735011632,-1.2255080376099488,0.0
Transformer,0.59,-0.14122779762829474,-1.279788721454093,0.0
Transformer,0.6,-0.1467622080679405,-1.3367834394904456,0.0
Transformer,0.61,-0.15493494474386194,-1.3967009635799443,0.0
Transformer,0.62,-0.15915186054307745,-1.4597720415688902,0.0
Transformer,0.63,-0.1628650943937568,-1.526252367016698,0.0
Transformer,0.64,-0.1666076904930408,-1.5964260438782731,0.0
Transformer,0.65,-0.16894146193509252,-1.6706096451319383,0.0
Transformer,0.66,-0.1701011614837018,-1.7491569876358188,0.0
Transformer,0.67,-0.1704786720710288,-1.8324647751399346,0.0
Transformer,0.68,-0.17787951167728244,-1.9209792993630577,0.0
Transformer,0.6900000000000001,-0.18089514416820773,-2.015204438052189,0.0
Transformer,0.7000000000000001,-0.1863057324840765,-2.1157112526539286,0.0
Transformer,0.7100000000000001,-0.19133904385386935,-2.223149571710961,0.0
Transformer,0.72,-0.19654231119199272,-2.3382620564149224,0.0
Transformer,0.73,-0.2024652040575607,-2.461901391837697,0.0
Transformer,0.74,-0.21162012085578963,-2.5950514453699163,0.0
Transformer,0.75,-0.21921443736730362,-2.738853503184713,0.0
Transformer,0.76,-0.22496461429582448,-2.89463906581741,0.0
Transformer,0.77,-0.2315609711068033,-3.063971199113819,0.0
Transformer,0.78,-0.2382262111561475,-3.248697162709902,0.0
Transformer,0.79,-0.23549186128803967,-3.4510160752198975,0.0
Transformer,0.8,-0.2436305732484077,-3.6735668789808926,0.0
Transformer,0.81,-0.24491563303162373,-3.919544083137782,0.0
Transformer,0.8200000000000001,-0.2506487379098845,-4.192852087756548,0.0
Transformer,0.8300000000000001,-0.253028599975022,-4.498313975271639,0.0
Transformer,0.8400000000000001,-0.2566348195329089,-4.841958598726118,0.0
Transformer,0.85,-0.26663128096249117,-5.231422505307855,0.0
Transformer,0.86,-0.2497725204731574,-5.676524112829845,0.0
Transformer,0.87,-0.2715172301159562,-6.1901028907398326,0.0
Transformer,0.88,-0.26680820948336875,-6.78927813163482,0.0
Transformer,0.89,-0.26553754101524807,-7.497394325419804,0.0
Transformer,0.9,-0.26751592356687903,-8.347133757961785,0.0
Transformer,0.91,-0.2686364708657703,-9.385704175513096,0.0
Transformer,0.92,-0.2691082802547773,-10.683917197452235,0.0
Transformer,0.93,-0.2456778889899911,-12.3530482256597,0.0
Transformer,0.9400000000000001,-0.2303609341825905,-14.578556263269652,0.0
Transformer,0.9500000000000001,-0.1762208067940555,-17.694267515923592,0.0
Transformer,0.9600000000000001,-0.08121019108280272,-22.367834394904502,0.0
Transformer,0.97,0.0,-30.15711252653925,0.0
Transformer,0.98,0.0,-45.73566878980888,0.0
Transformer,0.99,0.0,-92.47133757961775,0.0
Ensemble,0.01,0.05584507495335521,0.05584507495335521,0.0
Ensemble,0.02,0.04621084102430781,0.04621084102430781,0.0
Ensemble,0.03,0.03641079519338105,0.03637796309672336,0.0
Ensemble,0.04,0.02726910828025477,0.026340233545647553,0.0
Ensemble,0.05,0.018968599843557934,0.01609118337244385,0.0
Ensemble,0.060000000000000005,0.012343587658670996,0.005624068301937929,0.0
Ensemble,0.06999999999999999,0.008372714197657706,-0.005068146017396052,0.0
Ensemble,0.08,0.0064848149173820716,-0.01599279977845472,0.0
Ensemble,0.09,0.00510954014138728,-0.027157555819976198,0.0
Ensemble,0.09999999999999999,0.0049539985845718365,-0.03857041755130926,0.0
Ensemble,0.11,0.001807056466041651,-0.050239748085593644,0.0
Ensemble,0.12,-0.0006031654120826069,-0.06217429067747539,0.0
Ensemble,0.13,-0.0035995802523366843,-0.07438319057031993,0.0
Ensemble,0.14,-0.0063570829012985774,-0.08687601836764923,0.0
Ensemble,0.15000000000000002,-0.009117022605220446,-0.0996627950543275,0.0
Ensemble,0.16,-0.011348700839146714,-0.11275401880497422,0.0
Ensemble,0.17,-0.014081804926713223,-0.1261606937303354,0.0
Ensemble,0.18000000000000002,-0.01702397597224381,-0.13989436072704675,0.0
Ensemble,0.19,-0.02004534612461009,-0.15396713061256584,0.0
Ensemble,0.2,-0.022425690021231418,-0.16839171974522293,0.0
Ensemble,0.21000000000000002,-0.025135047972264776,-0.18318148834959286,0.0
Ensemble,0.22,-0.026920354945832642,-0.19835048178997222,0.0
Ensemble,0.23,-0.028910579865993866,-0.21391347505997188,0.0
Ensemble,0.24000000000000002,-0.03204268633366858,-0.2298860207844452,0.0
Ensemble,0.25,-0.03432413305024769,-0.24628450106157113,0.0
Ensemble,0.26,-0.038087450507832674,-0.26312618350834915,0.0
Ensemble,0.27,-0.04067417037489458,-0.2804292819125731,0.0
Ensemble,0.28,-0.04305260674687428,-0.2982130219391366,0.0
Ensemble,0.29000000000000004,-0.04719505995634103,-0.31649771238898367,0.0
Ensemble,0.3,-0.04921140430694572,-0.3353048225659691,0.0
Ensemble,0.31,-0.053747807624850014,-0.35465706637127303,0.0
Ensemble,0.32,-0.05785562632696392,-0.37457849381790936,0.0
Ensemble,0.33,-0.061111639255949576,-0.39509459074056474,0.0
Ensemble,0.34,-0.0624235990478029,-0.4162323875699673,0.0
Ensemble,0.35000000000000003,-0.06716478850236814,-0.43802057814796674,0.0
Ensemble,0.36000000000000004,-0.07019639065817414,-0.4604896496815288,0.0
Ensemble,0.37,-0.07323155730799043,-0.48367202507329893,0.0
Ensemble,0.38,-0.07492637490582836,-0.507602219026094,0.0
Ensemble,0.39,-0.07748599074170757,-0.5323170095019317,0.0
Ensemble,0.4,-0.07961783439490448,-0.557855626326964,0.0
Ensemble,0.41000000000000003,-0.08090431465687863,-0.5842599589765735,0.0
Ensemble,0.42000000000000004,-0.08163115894282162,-0.61157478585548,0.0
Ensemble,0.43,-0.0844042164860133,-0.6398480277125934,0.0
Ensemble,0.44,-0.08515316954807399,-0.6691310282074613,0.0
Ensemble,0.45,-0.08979926655085889,-0.6994788650839605,0.0
Ensemble,0.46,-0.09160965636549499,-0.7309506959188488,0.0
Ensemble,0.47000000000000003,-0.09519088250610903,-0.7636101430116572,0.0
Ensemble,0.48000000000000004,-0.09537808263922913,-0.7975257226849584,0.0
Ensemble,0.49,-0.09942342117314014,-0.8327713250905456,0.0
Ensemble,0.5,-0.1024416135881104,-0.8694267515923566,0.0
Ensemble,0.51,-0.10600545950864422,-0.9075783179513843,0.0
Ensemble,0.52,-0.10894373673036094,-0.947319532908705,0.0
Ensemble,0.53,-0.1119167005465962,-0.9887518633961243,0.0
Ensemble,0.54,-0.1142573617649774,-1.0319855995569094,0.0
Ensemble,0.55,-0.11641896673743811,-1.0771408351026188,0.0
Ensemble,0.56,-0.11590426558579427,-1.124348581354951,0.0
Ensemble,0.5700000000000001,-0.11632844516861703,-1.1737520367352987,0.0
Ensemble,0.5800000000000001,-0.12036194520270958,-1.2255080376099488,0.0
Ensemble,0.59,-0.12272797887214539,-1.279788721454093,0.0
Ensemble,0.6,-0.1284501061571125,-1.3367834394904456,0.0
Ensemble,0.61,-0.13132179214981765,-1.3967009635799443,0.0
Ensemble,0.62,-0.13129958654598278,-1.4597720415688902,0.0
Ensemble,0.63,-0.13463304068399612,-1.526252367016698,0.0
Ensemble,0.64,-0.13570417551309272,-1.5964260438782731,0.0
Ensemble,0.65,-0.13701850166818325,-1.6706096451319383,0.0
Ensemble,0.66,-0.1428437617085051,-1.7491569876358188,0.0
Ensemble,0.67,-0.1445827703789488,-1.8324647751399346,0.0
Ensemble,0.68,-0.1467622080679406,-1.9209792993630577,0.0
Ensemble,0.6900000000000001,-0.14940757482364228,-2.015204438052189,0.0
Ensemble,0.7000000000000001,-0.1555201698513801,-2.1157112526539286,0.0
Ensemble,0.7100000000000001,-0.1529394538399591,-2.223149571710961,0.0
Ensemble,0.72,-0.15878070973612374,-2.3382620564149224,0.0
Ensemble,0.73,-0.1645631831406778,-2.461901391837697,0.0
Ensemble,0.74,-0.16601339212804178,-2.5950514453699163,0.0
Ensemble,0.75,-0.17250530785562634,-2.738853503184713,0.0
Ensemble,0.76,-0.17595541401273887,-2.89463906581741,0.0
Ensemble,0.77,-0.1675666943598265,-3.063971199113819,0.0
Ensemble,0.78,-0.17096120440069487,-3.248697162709902,0.0
Ensemble,0.79,-0.17038216560509561,-3.4510160752198975,0.0
Ensemble,0.8,-0.1735668789808918,-3.6735668789808926,0.0
Ensemble,0.81,-0.17448876969493807,-3.919544083137782,0.0
Ensemble,0.8200000000000001,-0.1785798537390895,-4.192852087756548,0.0
Ensemble,0.8300000000000001,-0.17953041089047092,-4.498313975271639,0.0
Ensemble,0.8400000000000001,-0.17449575371549908,-4.841958598726118,0.0
Ensemble,0.85,-0.1776362349610757,-5.231422505307855,0.0
Ensemble,0.86,-0.1653776160145587,-5.676524112829845,0.0
Ensemble,0.87,-0.16315531602155806,-6.1901028907398326,0.0
Ensemble,0.88,-0.1553432413305025,-6.78927813163482,0.0
Ensemble,0.89,-0.15865662999420962,-7.497394325419804,0.0
Ensemble,0.9,-0.16082802547770703,-8.347133757961785,0.0
Ensemble,0.91,-0.16501533380514277,-9.385704175513096,0.0
Ensemble,0.92,-0.16852441613588123,-10.683917197452235,0.0
Ensemble,0.93,-0.1490749165908403,-12.3530482256597,0.0
Ensemble,0.9400000000000001,-0.1503892427459308,-14.578556263269652,0.0
Ensemble,0.9500000000000001,-0.11889596602972419,-17.694267515923592,0.0
Ensemble,0.9600000000000001,-0.09288747346072207,-22.367834394904502,0.0
Ensemble,0.97,-0.06493276716206647,-30.15711252653925,0.0
Ensemble,0.98,0.0010615711252653928,-45.73566878980888,0.0
Ensemble,0.99,0.0,-92.47133757961775,0.0
