threshold,net_benefit_model,net_benefit_all,net_benefit_none,dataset
0.01,0.038731687738310254,0.038731687738310254,0,Validation
0.02,0.03539667522638194,0.028922827409109342,0,Validation
0.03,0.03134430258756059,0.0189117225370383,0,Validation
0.04,0.02778697571743929,0.008692052980132453,0,Validation
0.05,0.024573021958870685,-0.0017427675148135313,0,Validation
0.060000000000000005,0.021332957587713117,-0.012399605467098784,0,Validation
0.06999999999999999,0.017838068788720365,-0.023285622730185855,0,Validation
0.08,0.015519723581917652,-0.034408292542470485,0,Validation
0.09,0.012517284040462852,-0.045775416636343776,0,Validation
0.09999999999999999,0.009418690213392207,-0.057395143487858714,0,Validation
0.11,0.006265347124041969,-0.06927598779671107,0,Validation
0.12,0.0045153521974714075,-0.08142685129440097,0,Validation
0.13,0.0018649615589556162,-0.09385704498744005,0,Validation
0.14,-0.0009394732789157548,-0.10657631295241032,0,Validation
0.15000000000000002,-0.004090377873003516,-0.11959485781067397,0,Validation
0.16,-0.00605487228003785,-0.13292336802270577,0,Validation
0.17,-0.007795420090959862,-0.14657304715550948,0,Validation
0.18000000000000002,-0.010030689710870622,-0.16055564529155228,0,Validation
0.19,-0.01274630038426948,-0.17488349276428747,0,Validation
0.2,-0.015397350993377475,-0.18956953642384106,0,Validation
0.21000000000000002,-0.01741135049040156,-0.20462737865705424,0,Validation
0.22,-0.018729835286126678,-0.22007131940906774,0,Validation
0.23,-0.022817579771222153,-0.2359164014793154,0,Validation
0.24000000000000002,-0.02418961310561172,-0.25217845939351696,0,Validation
0.25,-0.026269315673289183,-0.26887417218543047,0,Validation
0.26,-0.02869160551279757,-0.2860211204582066,0,Validation
0.27,-0.029111857026217915,-0.3036378481357163,0,Validation
0.28,-0.031236203090507737,-0.3217439293598235,0,Validation
0.29000000000000004,-0.033084600317134616,-0.34036004104094775,0,Validation
0.3,-0.03197729422894986,-0.359508041627247,0,Validation
0.31,-0.034811402245896926,-0.3792110567232941,0,Validation
0.32,-0.03817686014803274,-0.3994935722633425,0,Validation
0.33,-0.040515963230206606,-0.420381536028467,0,Validation
0.34,-0.039052779450130456,-0.4419024683925348,0,Validation
0.35000000000000003,-0.03998981151299033,-0.46408558329088145,0,Validation
0.36000000000000004,-0.0400248344370861,-0.4869619205298015,0,Validation
0.37,-0.0412488174077578,-0.5105644906969411,0,Validation
0.38,-0.04161503952146977,-0.5349284340952789,0,Validation
0.39,-0.041960699164042985,-0.5600911953099555,0,Validation
0.4,-0.04105960264900664,-0.5860927152317882,0,Validation
0.41000000000000003,-0.03965652710741947,-0.6129756426085982,0,Validation
0.42000000000000004,-0.04169901804064856,-0.6407855674811602,0,Validation
0.43,-0.04148948530266062,-0.6695712791913558,0,Validation
0.44,-0.04068117313150427,-0.6993850520340587,0,Validation
0.45,-0.04196267308850089,-0.7302829620710415,0,Validation
0.46,-0.03696345351974491,-0.7623252391464312,0,Validation
0.47000000000000003,-0.03377483443708609,-0.7955766587529677,0,Validation
0.48000000000000004,-0.035201222618441164,-0.8301069791136018,0,Validation
0.49,-0.03332034800675236,-0.8659914296844565,0,Validation
0.5,-0.031788079470198675,-0.9033112582781457,0,Validation
0.01,0.20577384692217227,0.20577384692217227,0,Temporal
0.02,0.19766949842137813,0.19766949842137813,0,Temporal
0.03,0.18939804995149542,0.18939804995149542,0,Temporal
0.04,0.18095427963849015,0.18095427963849015,0,Temporal
0.05,0.17233274573994795,0.17233274573994795,0,Temporal
0.060000000000000005,0.16352777494994739,0.16352777494994739,0,Temporal
0.06999999999999999,0.1545334499494092,0.1545334499494092,0,Temporal
0.08,0.14534359614451148,0.14534359614451148,0,Temporal
0.09,0.1359517675307149,0.13595176753071492,0,Temporal
0.09999999999999999,0.1263512316143895,0.12635123161438952,0,Temporal
0.11,0.11653495331792196,0.11653495331792198,0,Temporal
0.12,0.10649557778744381,0.1064955777874438,0,Temporal
0.13,0.09622541201488569,0.0962254120148857,0,Temporal
0.14,0.08571640517784948,0.08571640517784948,0,Temporal
0.15000000000000002,0.0749601275917065,0.0749601275917065,0,Temporal
0.16,0.06394774815827445,0.06394774815827445,0,Temporal
0.17,0.05267001018427775,0.05267001018427778,0,Temporal
0.18000000000000002,0.04129225502781342,0.04111720543042746,0,Temporal
0.19,0.029840313466044488,0.02927914623821054,0,Temporal
0.2,0.017743221690590116,0.017145135566188185,0,Temporal
0.21000000000000002,0.005551854319342631,0.004703934750570293,0,Temporal
0.22,-0.0072792704371651695,-0.008056271214165939,0,Temporal
0.23,-0.020360819403881597,-0.021147911100064226,0,Temporal
0.24000000000000002,-0.03315705531772015,-0.03458406782506507,0,Temporal
0.25,-0.04598617756512491,-0.048378522062732604,0,Temporal
0.26,-0.058127505495926574,-0.06254579938790464,0,Temporal
0.27,-0.06870070568700706,-0.07710122129732802,0,Temporal
0.28,-0.08421938685096583,-0.09206096048201315,0,Temporal
0.29000000000000004,-0.09855785430285066,-0.10744210077049224,0,Temporal
0.3,-0.11130097972203234,-0.12326270221007066,0,Temporal
0.31,-0.12954487668446482,-0.13954187180731806,0,Temporal
0.32,-0.14072614691809743,-0.1562998405103669,0,Temporal
0.33,-0.15308624342402824,-0.17355804708514852,0,Temporal
0.34,-0.16753661012034227,-0.19133922961674163,0,Temporal
0.35000000000000003,-0.1778922831554411,-0.20966752545699927,0,Temporal
0.36000000000000004,-0.18969298245614044,-0.2285685805422649,0,Temporal
0.37,-0.20227336016809705,-0.24806966912230075,0,Temporal
0.38,-0.21397334979677937,-0.26819982507588624,0,Temporal
0.39,-0.22332470520563708,-0.2889899861427041,0,Temporal
0.4,-0.23179160021265285,-0.3104731525784158,0,Temporal
0.41000000000000003,-0.24622225826507718,-0.33268456194415175,0,Temporal
0.42000000000000004,-0.25534840235384715,-0.3556618819776717,0,Temporal
0.43,-0.26076555023923437,-0.3794454237667534,0,Temporal
0.44,-0.2653793574846206,-0.40407837776258826,0,Temporal
0.45,-0.2681600695954762,-0.4296070755400899,0,Temporal
0.46,-0.27633055703231135,-0.45608128064268416,0,Temporal
0.47000000000000003,-0.2815894797026872,-0.48355451235292357,0,Temporal
0.48000000000000004,-0.27935222672064774,-0.512084406821249,0,Temporal
0.49,-0.27701160208900144,-0.5417331206804891,0,Temporal
0.5,-0.2822966507177034,-0.572567783094099,0,Temporal
